Numbering,Source,HusbandName,HusbandTribe ,HusbandSubtribe1,HusbandSubtribe2,HusbandSubtribe3,,HusbandGeneration ,WifeName,WifeTribe,WifeSubtribe1,WifeSubtribe2,WifeSubtribe3,WifeSubtribe4,WifeGeneration,Sons,Daughters,H Lat,H Lng,W Lat,W Lng
275,NQ50,?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,6,?? ????? ??? ???? ?? ???? ????,Quraysh,Taym b. Murra,,,,6,,1,,,,
345,NQ59,?????? ?? ??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,Husaynid,6,Unnamed woman,Bali,,,,,,1,,,,,
346,NQ59,?????? ?? ??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,Husaynid,6,?????? ??? ???? ????? ?? ??? ?? ??? ?? ???? ?? ??? ?? ???? ?? ????,Kalbi,,,,,,1,1,,,,
347,NQ59,?????? ?? ??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,Husaynid,6,?? ????? ??? ???? ?? ???? ????,Quraysh,Taym b. Murra,,,,6,,1,,,,
2218,NQ420,?????? ?? ??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,Husaynid,6,??? ??? ???? ?? ???? ?? ??? ??? ?? ??? ?? ?? ??? ?? ???? ?? ??? ?? ???? ?? ??? ?? ????,Quraysh,Amir b. Lu'ayy,,,,5,,,,,,
342,NQ57,?????? ?? ??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,Husaynid,6,????/???? ??? ??? ??? ?? ???? ?? ????? ?? ???? ?? ???? ?? ???? ?? ???? ?? ??? ?? ??? ?? ???,Thaqif,,,,,,1,,,,,
356,NQ59,??? ?????? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,7,?? ??? ???? ??? ????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,7,4,,,,,
452,NQ73,?????? ?? ??? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,8,???? ??? ???? ?? ??? ????? ?? ??? ?? ???? ???????? (?? ???? ?????? al-ansab al-mutafaqa),Asad,,,,,,2,,,,,
450,NQ73,?????? ?? ??? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,8,?? ???? ??? ???? ?? ???? ?? ??????,Quraysh,Qusayy,Asad,Zubayrid,,8,3,1,,,,
409,NQ66,??? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,8,???? ??? ??? ????/??? ???? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,,8,1,,,,,
261,NQ45,??? ???? ?? ??? ?? ?????? ?? ??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,Husaynid,8,????? ??? ???? ?? ??????,Quraysh,Qusayy,Hashim,Abbasid,,6,,,,,,
445,NQ72,??? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,8,?? ????? ??? ???? ?? ??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,,7,,1,,,,
438,NQ72,??? ?? ??? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,8,?? ????? ??? ???? ?? ??? ???? ?? ?????? ?? ???? ?? ?????? ?? ??? ??????,Quraysh,Qusayy,Hashim,,,9,1,,,,,
436,NQ72,??? ?? ??? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,8,?? ???? ??? ??? ?? ???,Quraysh,Qusayy,Hashim,Alid,,7,2,1,,,,
368,NQ63,???? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,8,???? ??? ?????? ?? ???? ?? ??? ???,Quraysh,Taym b. Murra,,,,8,2,,,,,
370,NQ63,???? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,8,?? ???? ??? ???? ?? ??????? ?? ?????? ?? ???? ??????,Thaqif,,,,,,2,,,,,
298,NQ52,???? ?? ??? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,8,?? ?????  ??? ????? ?? ????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,8,,,,,,
469,NQ75,??????? ?? ?????? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,9,????? ??? ???? ???? ?? ???? ?? ?????? ?? ?????? ?? ??????,Quraysh,Qusayy,Asad,Zubayrid,,9,2,2,,,,
401,NQ65,????? ?? ??? ???? ?? ??? ?? ?????? ?? ??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,Husaynid,9,????? ??? ??? ?? ???? ?? ??? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,,10,1,,,,,
404,NQ65,????? ?? ??? ???? ?? ??? ?? ?????? ?? ??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,Husaynid,9,???? ??? ??????? ?? ??? ?????? ?? ?????? ?? ???? ?? ??? ???,Quraysh,Taym b. Murra,,,,10,,1,,,,
463,NQ74,????? ?? ?????? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,9,????? ??? ????? ?? ????? ?? ???? ?? ??????,Quraysh,Qusayy,Umayyad,,,8(10),2,1,,,,
449,NQ73,????? ?? ??? ?? ??? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,9,?? ???? ??? ???? ?? ???? ?? ???? ?? ???? ?? ??? ?? ???? ?? ??? ????,Quraysh,Qusayy,Nawfal,,,8,1,1,,,,
448,NQ73,????? ?? ??? ?? ??? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,9,?????? ??? ???? ?? ??? ??? ?? ???? ???? ?? ??? ???? ?? ??? ?? ??????,Quraysh,Adi b. Ka'b,,,,11,1,,,,,
287,NQ51,?????? ?? ??? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,9,?? ????? ??? ????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,6,,,,,,
412,NQ66,?????? ?? ??? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,9,????? ??? ??? ?? ??? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,9,1,2,,,,
414,NQ66,?????? ?? ??? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,9,???? ??? ??? ???? ?? ??? ?? ?????? ?? ??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,Husaynid,,1,3,,,,
443,NQ72,???? ?????? ?? ??? ?? ??? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,9,????? ??? ???? ?? ???? ?? ???? ?? ??????,Quraysh,Qusayy,Asad,Zubayrid,,9,1,,,,,
375,NQ63,???? ?? ???? ?? ??? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,9,????? ??? ?????? ?? ????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,8,2,1,,,,
455,NQ74,??? ???? ?? ?????? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,9,?? ???? ??? ???? ?? ?????? ?? ???? ?? ???? ?? ??????,Quraysh,Qusayy,Asad,Zubayrid,,10,1,1,,,,
406,NQ65,??? ???? ?? ???? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,9,????? ??? ????? ?? ??? ???? ?? ??? ?? ?????? ?? ??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,Husaynid,10,,,,,,
457,NQ74,???? ???? ?? ?????? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,9,?? ????? ??? ??? ???? ?? ???? ???? ?? ?????? ?? ??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,,9,1,,,,,
459,NQ74,???? ???? ?? ?????? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,9,?? ???? ???? ??? ???? ?? ??? ?? ???? ???? ?? ????(?? ????? ?? ???? ?? ??? ?? ??? ?? ??? NQ 288),Quraysh,Taym b. Murra,,,,8,1,,,,,
460,NQ74,???? ???? ?? ?????? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,9,????? ??? ??? ???? ?? ????? ?? ??? ???? ?? ????? (?? ???? ?? ??? ?? ??? ?? ????? ?? ??? NQ386),Quraysh,Jumah,,,,9,1,1,,,,
372,NQ63,???? ???? ?? ?????? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,9,???? ??? ???? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,9,,,,,,
439,NQ72,??? ?????? ?? ??? ?? ??? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,9,?? ???? ??? ??? ?? ??? ?? ???? ?? ??? ?? ????? ?? ??? ???? (?? ??? ????? ?? ????? ?? ??? ????? ?? ??? NQ252),Quraysh,Qusayy,Abd al-Dar,,,10,3,1,,,,
461,NQ74,??? ?? ?????? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,9,???? ??? ??? ?? ???? ???? ?? ??? ???? ?? ?????? ?? ???? (?? ?????? ?? ??? ??????),Quraysh,Qusayy,Hashim,,,10,4,3,,,,
424,NQ67,???? ?? ??? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,9,????? ??? ????? ?? ??? ?????? ?? ?????? ?? ????? ?? ?????? ?? ??? ??????,Quraysh,Qusayy,Hashim,,,9,1,,,,,
421,NQ67,???? ?? ??? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,9,???? ??? ??? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,9,2,1,,,,
374,NQ63,???? ?????? ?? ??? ???? ?? ??? ?? ???? ?? ??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,Husaynid,9,?? ???? ??? ???? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,9,2,,,,,
462,NQ74,???? ?? ?????? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,9,?? ????? ??? ??????? ?? ??? ???? ?? ???? ?? ??? ????,Quraysh,Qusayy,Hashim,,,8,1,1,,,,
432,NQ71,???? ?? ??? ?? ??? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,9,????? ??? ??? ?? ??? ?? ??? ?? ???? ?? ???? ?? ???? ?? ????? ?? ??? ???? ?? ??? ?? ?????,Quraysh,Makhzum,,,,10,3,1,,,,
433,NQ72,???? ?? ??? ?? ??? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,9,????? ??? ??? ?? ???? ?? ????? ?? ??? ?? ??? ???? ?? ???? ?? ??? ????,Quraysh,Qusayy,Hashim,,,11,1,2,,,,
395,NQ64,???? ?? ??? ???? ?? ??? ?? ?????? ?? ??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,Husaynid,9,?? ???? ??? ???? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,9,1,,,,,
390,NQ64,???? ?? ???? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,9,????? ??? ??? ?? ???? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,10,,,,,,
441,NQ72,???? ?? ??? ?? ??? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,9,????? ??? ?????? ?? ???? ?? ???? ?? ?????? ?? ??????,Quraysh,Qusayy,Asad,Zubayrid,,9,1,2,,,,
467,NQ75,???? ?? ?????? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,9,?? ???? ??? ???? ?? ?????? ?? ???? ?? ??? ?? ??????,Quraysh,Adi b. Ka'b,,,,10,,1,,,,
465,NQ75,???? ?? ?????? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,9,????? ??? ???? ?? ??????? ?? ??????? ?? ??? ?? ?????? ?? ???? ?? ???? (?? ????? ?? ?????? ?? ???? ?? ????? ?? ???? ?? ??? ?? ???? ?? ??? NQ432),Quraysh,Amir b. Lu'ayy,,,,11,1,1,,,,
411,NQ66,???? ?? ??? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,9,???? ??? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,7(9 - see note),,1,,,,
381,NQ63,??????? ?? ???? ?? ???? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,10,?? ??????? ??? ??????? ?? ???? ?? ??????? ?? ???? ?? ?????? ?? ???????,Quraysh,Makhzum,,,,9,1,1,,,,
434,NQ72,????? ?? ???? ?? ??? ?? ??? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,10,????? ??? ???? ?? ??? ?? ??? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,10,,,,,,
430,NQ71,???? ?????? ?? ??? ?? ??? ?? ??? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,10,????? ??? ???? ?? ??? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,10,,,,,,
2102,NQ398,???? ?? ??? ???? ?? ?????? ?? ??? ?? ?????? ?? ??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,Husaynid,10,?? ???? ??? ???? ?? ???? ?? ??? ?? ??? ??? ?? ??? ???? ?? ???? ?? ???? ?? ????? ?? ???,Quraysh,Jumah,,,,9,,,,,,
399,NQ65,???? ?? ??? ???? ?? ???? ?? ??? ?? ??????,Quraysh,Qusayy,Hashim,Alid,Husaynid,10,???? ??? ???? ?? ??? ???? ?? ??? ?? ?????? ?? ??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,Husaynid,10,,1,,,,
379,NQ63,???? ?? ??? ???? ?? ???? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,10,????? ??? ???? ?? ???? ?? ??? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,10,,2,,,,
394,NQ64,??? ???? ?? ???? ?? ???? (?? ??? ?? ???? ?? ???),Quraysh,Qusayy,Hashim,Alid,Husaynid,10,???? ??? ?????? ?? ??? ?? ??? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,10,,1,,,,
428,NQ71,??? ?? ?????? ?? ??? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,10,????  ??? ???? ?? ??? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,10,,2,,,,
398,NQ65,??? ?? ???? ?? ???? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,10,????? ??? ???? ?? ??? ???? ?? ??? ?? ?????? ?? ??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,Husaynid,10,1,1,,,,
418,NQ66,???? ?? ???? ?? ??? ?? ??? ?? ???? ?? ??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,Husaynid,10,???? ??? ???? ?? ??? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,10,,,,,,
429,NQ71,???? ?? ????? ?? ??? ?? ??? ?? ??? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,11,????  ??? ???? ?? ??? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,10,1,1,,,,
387,NQ64,??? ?? ??????? ?? ???? ?? ???? ?? ??? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,11,????? ??? ??? ???? ?? ???? ?? ???? ?? ??? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,11,,,,,,
419,NQ66,??? ?? ?????? ?? ??? ?? ??? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,11,???? ??? ???? ?? ??? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,10,,,,,,
