Numbering,Source,HusbandName,HusbandTribe ,HusbandSubtribe1,HusbandSubtribe2,HusbandSubtribe3,HusbandGeneration ,WifeName,WifeTribe,WifeSubtribe1,WifeSubtribe2,WifeSubtribe3,WifeSubtribe4,WifeGeneration,Sons,Daughters,H Lat,H Lng,W Lat,W Lng
647,NQ104,????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,6,?? ???? ??? ???? ?? ???? ?? ???? ?? ????? ?? ???,Daws,Azd,,,,,4,1,,,,
650,NQ104,????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,6,?? ?????? ??? ????? ?? ??? ?? ????? ?? ???,Ghatafan,Fazara,,,,,1,,,,,
653,NQ105,????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,6,????? ??? ???????? ?? ?????? ?? ???? ?? ????? ?? ?????? ?? ??? ?? ???? ?? ??? ?? ???? ?? ??? ?? ????,Kalb,,,,,,,3,,,,
646,NQ104,????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,6,????? ??? ????? ?? ????,Qays Aylan,Mazin b. Mansur,,,,,1,,,,,
1660,NQ312,????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,6,?? ??? ???? ??? ?????? ?? ??? ??? ?? ??????? ?? ??? ???? ?? ???? ?? ?????,Quraysh,Makhzum,,,,6,2,,,,,
127,NQ23,????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,6,?? ????? ??? ????  ,Quraysh,Qusayy,Hashim,,,6,,,,,,
126,NQ22,????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,6,???? ??? ????,Quraysh,Qusayy,Hashim,,,6,1,,,,,
959,NQ156,????? ?? ???? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Uthmanid,6,???? ??? ???? ?? ????? ?? ??? ???,Quraysh,Qusayy,Abd Shams,,,5,,,,,,
1612,NQ307,???? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,7,?? ???? ??? ??? ?????? ?? ?????? ?? ???? (?? ???????),Quraysh,Makhzum,,,,7,,,,,,
753,NQ121,?????? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,7,?? ???? ??? ????? ?? ?????,Quraysh,Qusayy,Umayyad,Marwanid,,7,,1,,,,
751,NQ121,?????? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,7,????? ??? ??????,Quraysh,Qusayy,Asad,Zubayrid,,6,1,,,,,
754,NQ121,?????? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,7,????? ??? ?????? ?? ????? ?? ??? ????? ?? ???? ?? ??? ???? ?? ???? ?? ?????,Quraysh,Makhzum,,,,7,,1,,,,
758,NQ121,???? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,7,???? ??? ????? ?? ??? ?? ????,Quraysh,Qusayy,Umayyad,Sufyanid,,6,1,1,,,,
747,NQ120,??? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,7,?? ????? ??? ???? ?? ????? ?? ???? ?? ???? ?? ???? ?? ??? ???? ?? ???? ?? ????? ?? ???? ?? ???,Khuza'a,,,,,8,,1,,,,
803,NQ128,???? ?? ????? ??  ????,Quraysh,Qusayy,Umayyad,Uthmanid,7,???? ??? ?????? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,,7,2,,,,,
672,NQ113,???? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,7,Unnamed - ?? ??? ??? ?? ???,Ghatafan,Murra b. Awf,,,,,1,,,,,
1067,NQ170,???? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,7,?? ????? ??? ?????? ?? ????? ?? ??? ??????,Quraysh,Qusayy,Umayyad,,,7,,,,,,
668,NQ113,???? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,7,???? ??? ??? ???? ?? ??? ?? ??????,Quraysh,Adi b. Ka'b,,,,8,1,,,,,
727,NQ118,???? ?? ???? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,8,????? ??? ???? ?? ?????? ?? ??????,Quraysh,Qusayy,Asad,Zubayrid,,7,,1,,,,
825,NQ131,???? ?? ???? ?? ?????,Quraysh,Qusayy,Umayyad,Uthmanid,8,?? ????? ??? ???? ?? ?????? ?? ???? ?? ??????,Quraysh,Qusayy,Umayyad,,,8,1,,,,,
750,NQ120,??? ?? ??? ?? ?????,Quraysh,Qusayy,Umayyad,Uthmanid,8,????? ??? ??????,Quraysh,Qusayy,Hashim,Alid,Husaynid,,,,,,,
744,NQ120,??? ?????? ?? ???? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,8,????? ??? ???? ?? ??? ?????? ?? ?????? ?? ???? ?? ???????,Quraysh,Makhzum,,,,8,1,1,,,,
1608,NQ306,??? ???? ?? ???? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,8,????? ??? ??? ?????? ?? ?????? ?? ???? (?? ???????),Quraysh,Makhzum,,,,7,,,,,,
679,NQ114,??? ???? ?? ???? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,8,?? ??? ?????? ??? ??? ???? ?? ???? ?? ???? ?? ??? ????? ?? ????,Quraysh,Qusayy,Umayyad,,,8,2,3,,,,
682,NQ114,??? ???? ?? ???? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,8,?? ???? ??? ???? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,,8,1,1,,,,
680,NQ114,??? ???? ?? ???? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,8,????? ??? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,7,2,1+B679C679:T679B679:T679,,,,
1259,NQ220,??? ???? ?? ???? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,8,????? ??? ??? ???? ?? ?????? ?? ??? ???? ?? ?????? ?? ??? ?? ??? ????? ?? ????,Quraysh,Qusayy,Asad,,,7,,,,,,
724,NQ118,??? ?? ???? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,8,???? ??? ??? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,,8,1,,,,,
714,NQ117,????? ?? ???? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,8,???? ??? ???? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,,8,3,,,,,
302,NQ53,????? ?? ???? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,8,?? ?????? ??? ????? ?? ????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,8,1,,,,,
703,NQ116,???? ?? ??? ???? ?? ???? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,9,?? ???? ??? ??????? ?? ??? ?????? ?? ??? ???? ?? ??? ????? ?? ???????,Quraysh,Makhzum,,,,8,1,,,,,
1147,NQ192,???? ?? ??? ???? ?? ??? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,9,?? ???? ??? ??? ???? ?? ???? ?? ???? ?? ??? ????? ?? ???? ?? ??? ???,Quraysh,Qusayy,Umayyad,,,8,,,,,,
695,NQ115,???? ?? ??? ???? ?? ???? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,9,????? ??? ???? ?? ?????? ?? ??????,Quraysh,Qusayy,Asad,Zubayrid,,7,4,1,,,,
694,NQ115,???? ?? ??? ???? ?? ???? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,9,???? ??? ??? ?????? ?? ??? ???? ?? ???? ?? ???? (?? ??? ????? ?? ????),Quraysh,Qusayy,Umayyad,,,9,3,3,,,,
719,NQ117,???? ?? ????? ?? ???? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,9,?? ????? ??? ??? ?? ???? ?? ?????,Quraysh,Qusayy,Umayyad,Uthmanid,,9,4,,,,,
693,NQ115,???? ?? ??????? ?? ???? ?? ?????,Quraysh,Qusayy,Umayyad,Uthmanid,9,??? ??? ??? ???? ?? ???? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,,9,2,1,,,,
998,NQ161,???? ?? ???? ?? ???? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,9,?? ??? ?? ????? ?? ????? ?? ??? ?????? ?? ????,Quraysh,Qusayy,Umayyad,,,7,,,,,,
700,NQ116,??? ?????? ?? ??? ???? ?? ???? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,9,?????? ??? ???? ?? ??? ?????? ?? ?????? ?? ??? ??????? (?? ???? ?? ?????? ?? ??? ?? ??? ????? ?? ???),Quraysh,Qusayy,Asad,,,9,,2,,,,
726,NQ118,??? ???? ?? ??? ?? ???? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,9,????? ??? ???? ?? ???? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,,9,2,,,,,
692,NQ115,??? ???? ?? ????? ?? ???? ?? ?????,Quraysh,Qusayy,Umayyad,Uthmanid,9,???? ??? ??? ???? ?? ???? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,,9,3,2,,,,
721,NQ117,??? ???? ?? ????? ?? ???? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,9,?????? ??? ??? ?? ???? ?? ???? ???? ?? (?? ????? ?? ???? ?? ??? ?? ??? ?? ??? ?? ???),Quraysh,Taym b. Murra,,,,8,1,,,,,
1127,NQ181,????? ?? ????? ?? ???? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,9,????? ??? ???? ?? ?????? ?? ???? ?? ?????? ?? ????,Quraysh,Qusayy,Umayyad,,,,2,,,,,
402,NQ65,??? ?? ???? ?? ??? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,9,???? ??? ??? ?? ??? ???? ?? ??? ?????? ?? ??? ?? ??? ???? ?????? ?? ???? ?? ?????? (?? ???? ?? ????? ?? ??? ?????),Quraysh,Qusayy,Asad,,,11,,1,,,,
704,NQ116,???? ?????? ?? ??? ???? ?? ???? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,9,?? ????? ??? ??????? ?? ???? ?? ???? ?? ???? ????,Quraysh,Taym b. Murra,,,,8,5,1,,,,
708,NQ117,???? ?????? ?? ??? ???? ?? ???? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,9,???? ??? ????? ?? ??????? ?? ???? ?? ???? ?? ???? ????,Quraysh,Taym b. Murra,,,,9,,1,,,,
732,NQ119,??? ???? ?? ???? ?? ??????? ?? ???? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,10,???? ??? ???? ?? ??? ???? ?? ???? ?? ?????,Quraysh,Qusayy,Umayyad,Uthmanid,,10,3,3,,,,
656,NQ106,??? ????? ?? ???? ?? ???? ?? ???? ?? ?????,Quraysh,Qusayy,Umayyad,Uthmanid,10,???? ?? ???? ?? ???? ?? ?????? ?? ??? ????? ?? ?????,Quraysh,Qusayy,Umayyad,Marwanid,,11,,,,,,
1648,NQ310,????? ?? ???? ?? ??? ???? ?? ???? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,10,???? ??? ??????? ?? ??? ?????? ?? ??????,Quraysh,Makhzum,,,,8,,,,,,
678,NQ114,???? ?? ???? ?? ??? ???? ?? ???? ?? ?????,Quraysh,Qusayy,Umayyad,Uthmanid,10,????? ??? ????? ?? ???? ?? ??????,Quraysh,Qusayy,Asad,Zubayrid,,8,,1,,,,
1883,NQ359,???? ?? ??? ???? ?? ??? ???? ?? ???? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,10,???? ?????? ??? ??? ?????? ?? ??? ???? ?? ??? ???? ?? ??? ?? ?????? ?? ???? ?? ??? ????? ?? ???? ?? ??? ???? ?? ??? ?? ???? ?? ??? ?? ??? ?? ??? ?? ???? ?? ???,Quraysh,Adi b. Ka'b,,,,10,,,,,,
