"Source","HusbandName","HusbandTribe","HusbandSubtribe1","HusbandSubtribe2","HusbandSubtrib3","HusbandSubtribe4","HusbandGeneration","WifeName","WifeTribe","WifeSubtribe1","WifeSubtribe2","WifeSubtrib3","WifeSubtrib4","Generation wife","Sons","Daughters","H Lat","H Lng","W Lat","W Lng"
"NQ7","إلياس بن مضر",,,,,,-12,"خندف/ليلى بنت حلوان بن عمران بن الحاف بن قضاعة بن نزار","Quda'a ",,,,,-10,3,,,,,
"NQ13","لؤىّ بن غالب","Quraysh",,,,,-4,"مارية بنت كعب بن القين بن جسر بن شيع الله بن اسد بن وبرة بن تغلب بن حلوان بن عمران بن الحاف بن قضاعة","Quda'a",,,,,,5,,,,,
"NQ440","سامة بن لؤى","Quraysh",,,,,-3,"ناجية بنت جرم بن ربان ( بن حلوان بن عمران بن الحافي بن قضاعة)","Quda'a",,,,,,1,,,,,
"NQ440","الحارث بن سامة بن لؤى","Quraysh",,,,,-2,"ناجية بنت جرم بن ربان ( بن حلوان بن عمران بن الحافي بن قضاعة)","Quda'a",,,,,,2,,,,,
"NQ16","هاشم بن عبد مناب","Quraysh","Qusayy","Hashim",,,2,"اميمة بنت ادّ بن علىّ من بنو سلامان بن سعد هذيم بن زيد بن ليث بن سود بن اسلم بن الحاف بن قضاعة","Quda'a",,,,,,1,,,,,
"NQ347","هاشم بن عبد مناف","Quraysh","Qusayy","Hashim",,,2,"اميمة بنت ود بن عدى بن ذبيان بن مالك بن سلامان بن سعد بن زيد","Quda'a",,,,,,1,,,,,
"NQ431","هاشم بن عبد مناف","Quraysh","Qusayy","Hashim",,,2,"اميمة بنت ود بن عدى بن ذبيان بن مالك بن سلامان بن سعد بن زيد","Quda'a",,,,,,1,,,,,
"NQ431","ربيعة بن الحارث بن حبيب بن جذيمة بن مالك بن حسل بن عامر بن لؤى","Quraysh","Amir b. Lu'ayy",,,,3,"اميمة بنت ود بن عدى بن ذبيان بن مالك بن سلامان بن سعد بن زيد من قضاعة","Quda'a",,,,,,1,,,,,
"NQ16","ربيعة بن الحارث بن حبيب بن جذيمة/شحام بن مالك بن حسل (بن عامر بن لؤي N366)","Quraysh","Amir b. Lu'ayy",,,,3,"اميمة بنت ادّ بن علىّ","Quda'a",,,,,,1,,,,,
"NQ347","ربيعة بن الحارث بن خبيب بن جذيمة بن مالك بن حسل بن عامر بن لؤى","Quraysh","Amir b. Lu'ayy",,,,3,"اميمة بنت ود بن عدى بن ذبيان بن مالك بن سلامان بن سعد بن زيد","Quda'a",,,,,,1,,,,,
"NQ16","عبد العزى بن رياح بن عبد الله بن قرط بن رزاح بن عدى بن كعب","Quraysh","Adi b. Ka'b",,,,3,"اميمة بنت ادّ بن علىّ","Quda'a",,,,,,1,,,,,
"NQ347","عبد العزى بن رياح بن عبد الله بن قرط بن رزاح بن عدى بن كعب بن لؤى بن غالب بن فهر","Quraysh","Adi b. Ka'b",,,,3,"اميمة بنت ود بن عدى بن ذبيان بن مالك بن سلامان بن سعد بن زيد","Quda'a",,,,,,1,,,,,
"NQ431","عبد العزى بن رياح بن عبد الله بن قرط بن رزاح بن عدى بن كعب بن لؤى بن غالب بن فهر","Quraysh","Adi b. Ka'b",,,,3,"اميمة بنت ود بن عدى بن ذبيان بن مالك بن سلامان بن سعد بن زيد من قضاعة","Quda'a",,,,,,1,,,,,
"NQ256","عامر بن الحارث بن السباق بن عبد الدار بن قصى","Quraysh","Qusayy",,,,4,"امينة بنت عمرو بن عبيد بن خداش الجهنى","Quda'a","Juhayna",,,,,1,1,,,,
"NQ268","عبد الرحمن بن عوف بن عبد عوف بن عبد بن الحارث","Quraysh","Zuhra",,,,5,"ام حريث سبية من بهراء","Quda'a","Bahra'",,,,,1,,,,,
"NQ228","عبد الله الاصغر بن وهب بن زمعة بن الاسود بن المطلب بن اسد بن عبد العزى","Quraysh","Qusayy","Asad",,,7,"كريمة بنت المقداد بن عمرو البهرانى","Quda'a","Bahra'",,,,,6,,,,,
